Risk_Description,Impact,Likelihood
DDoS attack saturates Internet bandwidth preventing access to web applications and slowing network to a crawl,4,4
Failure of tape backup system goes unnoticed for months until attempt to restore data reveals backups unsuccessful,2,1
Expiration of SSL certificate causes customer browser errors and blocks access to public web services,2,3
Unpatched vulnerability in web server exploited to inject malware into website impacting visitors with infections,3,4
Improper system backup configuration omits critical databases from rotation causing recent data to be unrecoverable,3,1
Ransomware infiltration through phishing email encrypts all files on file share stopping access to documents,4,3
Failure of DNS servers causes resolution issues preventing access to internal and external applications,3,2
Broken air conditioning floods server room risking water damage to critical systems and outage,4,1
Massive log growth fills up disk space causing critical application and system crashes,3,2
Security vulnerability in public-facing web application enables hackers to steal customer data,5,3
Network misconfiguration during maintenance disconnects redundant fiber link causing single point of failure,2,1
Power fluctuations due to electrical storm causes file corruption and crashes on servers,3,2
Improper SAN configuration causes disk failure to take down redundant storage array,4,1
Compromised developer workstation used as entry point to pivot deeper into network,3,2
Outdated server OS no longer receives critical security patches opening vulnerability to exploits,4,3
Failure of backup power system during prolonged power outage leaves systems down indefinitely,4,2
Malicious insider with privileged access deletes critical data and sabotages systems,5,1
Weak firewall policies allow malicious traffic to bypass rules and access internal systems,4,3
Improper data deletion processes leave sensitive customer information vulnerable to exposure,3,2
Unpatched vulnerability exploited to spread ransomware across network encrypting critical data,5,4
Storage area network failure impacts multiple systems and applications relying on central storage,4,2
Compromised vendor account used to distribute malware to customers through trusted update channel,5,1
DoS attack floods network with traffic saturating Internet connection and blocking access to web services,4,5
Database server runs out of storage bringing application offline until additional capacity added,3,2
Hard drive failure in RAID array during rebuild process causes permanent data loss,3,1
Failure to renew domain registration causes DNS issues and inability to resolve public-facing web services,2,1
Misconfigured database backups fail silently for months before deficiencies are detected,2,1
Unsecured S3 buckets expose sensitive documents publicly to the Internet,4,2
Improper key management exposes encrypted data due to expired keys no longer accessible,3,1
"Extended power outage at primary data center causes all systems and infrastructure to go offline, requiring failover to secondary site and resulting in multi-hour downtime",5,2
"Accidental deletion of critical database by admin without adequate backups, causing permanent loss of essential data needed for operations",5,1
"Mass malware infection spreads across network from unpatched systems, encrypting files and disrupting access to applications and data",4,3
"Improper firewall configuration exposes customer data environment to the internet, allowing external attackers to steal sensitive information",4,4
"DDoS attack overwhelms network perimeter, taking public-facing web applications offline and preventing customer access",3,4
"Failure of HVAC system in server room overheats equipment, leading to system crashes and hardware damage",3,2
"Misconfigured network switch causes routing loop, intermittently disrupting connectivity between servers and primary storage",2,3
"Expired TLS certificate on customer portal goes unnoticed, causing errors and lack of access to site for end users",2,4
"Accidental detachment of fiber channel cables interrupts SAN connectivity, causing datastores to go offline and virtual machine crashes",4,2
"Unpatched vulnerability in web server allows SQL injection attack, resulting in data loss and breach of customer records",5,3
"Overutilization of virtual hosts leads to resource contention, performance problems and intermittent crashes for critical apps",3,4
"Lack of disk space causes database and application servers to crash unexpectedly, disrupting operations and preventing data writes",4,2
"Failure of tape backup drive goes undetected, leading to missed backups and lack of disaster recovery capabilities",3,2
Cyber attacker obtains service account credentials via phishing attack and escalates privileges to gain domain admin access,5,3
"Natural disaster destroys primary data center site, requiring full failover to alternate facility with potential data loss",5,1
"Network misconfiguration during maintenance window disrupts internal connectivity, causing extended outage",2,3
"Massive log growth fills up primary storage, crashing critical applications and preventing data access",4,2
"Failure of SAN fiber channel switch causes storage arrays to disconnect, interrupting virtual machine and database operations",4,3
"Uncontrolled growth of low priority VMs consumes excessive resources, impacting performance of high priority applications",2,4
"Inadequate OS and software patch management leaves systems vulnerable to new exploit, allowing malware infection",3,4
Lack of visibility into encrypted traffic enables data exfiltration of sensitive customer information over network,4,3
"Improper shutdown during OS update corrupts system files, preventing server from rebooting properly",2,2
Weak server and application credentials exploited via brute force attack to gain access to databases,4,3
"Improper capacity planning leads to unexpected exhaustion of IP addresses, preventing new workloads from deploying",2,3
Shared account used for multiple systems enables lateral movement between restricted environments,3,4
Failure to renew domain registration causes customer-facing services and websites to go offline,3,1
Compromised vendor credentials used to pivot from third-party systems into core network,4,2
"Improper data deletion processes allow sensitive customer information to be recovered, enabling data breach",4,2
Lack of redundancy for network core devices causes extended outage during component failure,3,3
Uncontrolled costs from overprovisioned cloud infrastructure and unused resources,2,4
Shared passwords across environments results in inability to identify source of credential compromise,3,4
Failure to encrypt mobile devices leads to breach of sensitive data if devices are lost or stolen,3,2
Improper access controls on cloud storage buckets enables data leakage of sensitive files,4,3
"Outdated identity and access management system makes provisioning/deprovisioning difficult, increasing insider threat",2,3
Weak mobile device policy enables malware infection spreading across network and compromising data,3,2
Lack of visibility into IaaS configuration and changes prevents detection of misconfigurations,2,3
Improper key management exposes encrypted data if keys are lost due to lack of redundancy,4,2
"Obsolete systems reaching end of life lack vendor support and security patches, increasing risk",3,4
Uncontrolled personal devices on network increase attack surface for malware and data exfiltration,3,2
Lack of log analysis and alerts enables malicious activity to go undetected across the infrastructure,3,4
Improper hardening and vulnerability management of internet-facing systems leads to compromise,4,3
Failure to separate duties allows single user to make unauthorized changes without oversight,3,2
Lack of business continuity and disaster recovery planning extends downtime during outages,2,4
Improper decommissioning of hardware results in retained sensitive data that is accessible,4,1
Extended network outage from failed core router leading to inability to access critical systems and data,5,4
Cryptolocker malware infection encrypting files on file shares before spreading across the network,4,2
Accidental deletion of production database by admin during routine maintenance,5,1
Data center cooling system failure due to refrigerant leak causing servers to overheat and shut down,4,3
Improper firewall rule change blocking inbound web traffic and preventing customer access,3,2
DDoS attack saturating internet bandwidth preventing access to public-facing applications,4,4
Massive log file growth filling up disk space and crashing log collection servers,3,3
"Backup system failure going undetected, resulting in inability to restore after data loss",5,2
"Unsupported operating system security patches no longer available, vulnerable to exploitation",4,3
"Accidental detachment of iSCSI LUNs holding virtual machine data, causing VMs to go offline",4,1
SAN firmware bug corrupting LUN metadata leading to unrecoverable data loss,5,1
Improper vSphere permission settings allowing unauthorized changes to virtual machines,3,3
Hypervisor zero-day vulnerability allowing guest VM escape and host compromise,5,2
Shared account credential leakage enabling wide-spread unauthorized access,4,4
Power distribution unit failure causing partial data center power outage,3,3
Network switch misconfiguration causing routing loop and sustained high utilization,3,2
Unpatched privilege escalation vulnerability exploited to gain domain admin access,5,3
Defective batch script deleting unexpected files and breaking applications,4,2
Cloud provider outage taking down IaaS virtual machines with no ETA,3,2
Accidental S3 bucket misconfiguration exposing customer data publicly,4,3
Compromised IoT devices used to pivot further into internal network,3,4
"Out of support server OS vulnerable to ransomware, no backups available",5,3
"Failing HDDs on SAN going unnoticed, leading to raid failure during rebuild",4,2
Unauthorized internal user data access due to overprivileged account,4,3
Malicious insider elevating account privileges without approval,5,1
Improper data validation allowing SQL injection attack and data loss,4,3
Weak SSL cipher usage vulnerable to man-in-the-middle decryption,3,2
Server rack fire suppression system failure due to lack of maintenance,4,1
Mass credential compromise due to reused passwords across accounts,3,4
Improper key management exposing encrypted data transiting public networks,4,2
Default credentials left unchanged on network devices enabling unauthorized access,3,4
Misconfigured LDAP allowing anonymous binds and user enumeration,2,3
Expired internal TLS/SSL certificates breaking dependent services,3,2
Unrestricted outbound internet access exploited as command and control channel,3,3
Failed security update allowing WannaCry ransomware to spread internally,5,2
Spear phishing attack compromising user credentials through malicious attachment,4,4
Weak mobile device passcodes leading to unauthorized access of cached data,3,3
Improper access controls enabling unauthorized file access on NAS devices,2,4
Embedded SQL injection vulnerability in customer portal enabling data loss,4,3
Compromised vendor credentials used to pivot from cloud hosted systems internally,4,2
Public cloud storage misconfiguration exposing customer PII to the internet,5,1
Unpatched privilege escalation vulnerability exploited for ransomware installation,5,2
Improper input validation allowing script injection on public web forms,3,3
Hacked vendor credentials used to distribute malware to customers,4,2
Privileged user account left active after employee termination,3,2
"Prolonged power outage at primary data center due to extreme weather, causing extended downtime and inability to access critical systems",5,4
"Malware or ransomware infection spreading through network shares and endpoints, encrypting files and disrupting operations",4,3
"Accidental deletion of production database by admin, requiring restore from backups and potential data loss",3,2
"Hardware failure of SAN storage system due to aging components, causing unavailability of virtual machines",4,3
"Security vulnerability in web application enabling remote code execution, leading to data theft or service disruption",5,4
"Misconfiguration of network firewall rules allowing external access to internal systems, increasing attack surface",3,2
"DDoS attack flooding network perimeter, disrupting internet connectivity and availability of customer-facing applications",4,3
Improper data disposal procedures leading to unauthorized access to sensitive customer information,4,2
Unpatched operating system or software vulnerabilities exploited to install backdoors and compromise credentials,5,3
Insufficient log monitoring and alerting enabling intruder persistence without detection,3,2
Failure of air conditioning system in server room leading to overheating and equipment shutdown,3,1
Natural disaster destroying primary data center with no failover site configured for critical systems,5,2
Accidental misconfiguration of storage snapshots causing data corruption or loss,4,2
Compromise of privileged domain admin account through password guessing or phishing,5,3
Loss of internet connectivity at primary site due to damaged fiber optic lines,4,2
Improper access controls enabling unauthorized changes to production systems and data,4,3
Cryptocurrency mining malware infecting systems and consuming excessive resources,3,2
Failure to patch known critical OS or software vulnerabilities leading to exploit,4,3
Unauthorized insider access or data theft enabled by excessive user permissions,4,3
"DoS attack targeting public-facing web server, disrupting customer access and transactions",3,2
Improper server decommissioning without sanitizing sensitive data enabling data breach,3,1
Outdated operating systems running legacy applications no longer supported by vendor,2,3
Shared account credentials enabling unaudited access and unauthorized system changes,3,2
Improper separation of duties enabling employee abuse of access for financial gain,4,2
Lack of multi-factor authentication for remote access leading to account compromise,3,2
Cyber attack destroying backups along with production data for maximum impact,5,1
Natural disaster destroying offsite backup tapes with no redundant backups configured,4,1
Uncontrolled growth of log data overwhelming storage and impairing forensics capability,2,3
Improper network segmentation allowing lateral movement between security zones,4,3
Weak authentication mechanisms enabling brute force credential attacks,3,4
Failure to encrypt laptops and removable media leading to data theft or loss,3,2
Insufficient capacity planning leading to performance issues as demand increases,2,3
Lack of automated failover capability for critical systems after primary outage,4,2
Compromised vendor credentials used to pivot into managed service network,4,2
Weak mobile device management enabling malware infections or data exfiltration,3,2
Uncontrolled BYOD devices introducing malware and unauthorized access,3,3
Improper asset management enabling stale systems missing patches to remain in prod,2,3
Inadequate change management process increasing risk of human errors,3,4
Lack of log review enabling suspicious activities to go undetected,3,3
Legacy systems with insecure protocols allowing intercepted credentials,4,2
Unauthorized USB devices spreading malware between air-gapped systems,2,1
Improper cloud configuration exposing data or enabling account compromise,4,2
Account hijacking through phishing to initiate fraudulent transactions,5,3
Weak encryption algorithms permitting brute force decryption of sensitive data,4,1
"Extended power outage at primary data center causes all systems and infrastructure to go offline, requiring failover to secondary site and resulting in multi-hour downtime",5,2
"Accidental deletion of critical virtual machine by admin, requiring restoration from recent backup and causing application downtime",4,3
"Network switch firmware vulnerability exploited to gain access to infrastructure management plane, allowing malicious configuration changes",5,1
"Storage array controller failure renders SAN inaccessible, requiring replacement and rebuild causing day-long outage",4,2
"Unpatched server OS vulnerability exploited to install crypto-mining malware, consuming excessive resources and impacting performance",3,4
"Improper firewall rule allows unauthorized access to customer database server, leading to data theft",5,2
"DDoS attack saturates internet bandwidth, resulting in multi-hour outage and inability to access hosted applications",4,3
"Accidental misconfiguration of load balancer locks out a subset of users, requiring immediate remediation",2,4
Compromised developer workstation allows attackers access to source code repositories containing sensitive intellectual property,3,3
"Physical access control weakness enables unauthorized person to enter data center, allowing potential theft of equipment",2,2
"Failure of HVAC system causes overheating of servers and infrastructure, leading to malfunctions and shutdowns",3,3
"Unchecked growth in log data fills up disk space and crashes monitoring servers, causing visibility gaps",2,4
"Weak administrative password allows takeover of domain admin account, providing full access to systems and data",5,1
Improper security patching of public-facing web server leads to takeover and defacement,3,4
Breach of developer account with excessive permissions enables access to production databases,4,2
"Hardware failure of SAN fiber channel switches causes storage outage, requiring replacement",4,2
"Configuration error causes core routing loop, bringing down network connectivity between data centers",5,3
Inability to scale key-value cache leads to systemic latency and timeouts of critical apps,3,4
Lapse in SSL/TLS certificate renewal causes external users to receive errors and be unable to access apps,2,4
Accidental deletion of object storage bucket destroys customer files with no backup,4,1
Malicious insider with privileged access exfiltrates customer data and intellectual property,5,1
Compromise of code repository allows injection of backdoors into software applications,4,2
Improper key management exposes encrypted data stores to unauthorized access,3,2
Lack of logging and auditing allows unauthorized changes to go undetected,3,3
Failure to patch or upgrade end-of-life OS and software leads to exploit of vulnerabilities,4,4
Compromise of CI/CD pipeline enables malicious code to be deployed into production,5,2
Misconfigured cloud storage bucket allows anyone to access confidential data,4,3
Use of hard-coded secrets and credentials in app code enables unauthorized access when leaked,3,4
Outage of DNS servers causes hosted domains to become unreachable,4,2
Loss of internet connectivity at primary data center fails over to secondary location,3,3
Failure to encrypt laptop leads to disclosure of IP and customer data if stolen,4,2
Insufficient capacity planning causes core systems to crash under peak loads,3,4
Compromised employee cloud credentials used to exfiltrate data to attacker controlled account,4,1
Outdated load balancer configuration incorrectly routes traffic causing application failure,2,3
Lack of cloud account permissions governance allows excessive privileges,3,3
Compromised IoT devices on corporate network spread malware and allow pivoting,3,2
Natural disaster destroys primary data center causing permanent loss of data,5,1
Expired TLS certificates break client access to public-facing web applications,2,4
Unrestricted outbound firewall rules allow malware to exfiltrate data from network,3,3
Improper input validation in web app leads to remote code execution,4,2
Weak wireless encryption allows unauthorized network access and man-in-the-middle attacks,3,3
Failure to patch firmware vulnerabilities in network devices allows takeover,4,2
"Extended website downtime due to DDoS attack saturating inbound internet bandwidth, preventing legitimate traffic and interrupting business operations",5,4
Data leakage through unpatched vulnerability in customer database allowing SQL injection attack and unauthorized data access,4,3
"Prolonged email system outage due to hardware failure of mail server without redundancy, disrupting communication and productivity",3,2
"Cryptolocker malware infection encrypting critical files on client machines from phishing email attachment, requiring restoration from backup",4,2
"Misconfigured firewall rules allowing malicious actors to scan and exploit internal systems, leading to potential data breach",3,4
Improper access controls providing network admins excessive privileges enabling malicious activity,2,3
"Natural disaster destroying data center facility, causing catastrophic system failure and data loss",5,1
"Accidental deletion of virtual machine images and backups due to human error, requiring redeployment and reconfiguration",2,4
"Security patch management deficiencies leaving known vulnerabilities unaddressed, allowing exploits and malware",3,3
Weak authentication mechanisms permitting brute force credential attacks on remote access services,4,2
Failure of air conditioning system in server room leading to overheating and hardware failure,3,2
Supply chain attack injecting malware into software update for critical application servers,4,1
Improper hardening of cloud infrastructure misconfiguring security groups and access controls,3,3
"Unencrypted laptop containing sensitive customer data stolen, resulting in data breach and regulatory actions",5,2
Outdated operating systems no longer receiving security patches vulnerable to known exploits,4,4
Insufficient logging or monitoring enabling intrusion or malicious activity to go undetected,2,3
Inadequate backup systems and retention leading to inability to recover from data loss,3,4
Spear phishing attack compromising executive credentials and enabling wire fraud,5,2
Denial of service attack disrupting web applications and customer access during peak periods,4,3
Weak passwords and no multi-factor authentication allowing compromised access to critical systems,3,4
Unrestricted USB devices spreading malware inside secure network segments,2,3
Improper decommissioning of hardware leading to unauthorized data access,4,1
Natural disaster destroying offsite backups before new backups completed,5,1
Embedded malware or hardware Trojans in servers from untrusted manufacturers,3,2
Code injection attack on web application enabling data theft and manipulation,4,2
Insider threat from disgruntled employee stealing intellectual property before resignation,5,1
Unencrypted mobile devices lost or stolen containing proprietary information,3,2
Integration with third-party supplier using outdated vulnerable libraries,2,3
Reflected XSS attack on public website injecting malicious code into user browsers,3,3
Outdated end-of-life operating systems containing unpatched vulnerabilities,4,3
Database deleted by developer error without adequate point-in-time recovery,4,2
Ransomware attack through compromised remote access channel encrypting file shares,5,2
Shared account credentials enabling unauthorized access after employee termination,3,4
Buffer overflow vulnerability in server software enabling remote code execution,4,2
Inadequate network segmentation allowing lateral movement after initial breach,3,3
Hacked vendor credentials enabling supply chain attack through trusted channel,4,2
Cyberattack disrupting critical industrial systems and operational technology,5,2
Insufficient capacity planning leading to service degradation during traffic spikes,2,4
Compromised certificates enabling man-in-the-middle attacks on internet traffic,4,1
Improper access revocation allowing ex-employee continued access after termination,2,3
Unencrypted personal data transferred insecurely to third-party vendor,4,3
Weak mobile device PIN policies leading to unauthorized access,2,4
System administrator account compromised through password guessing,3,3
Stolen laptop allowing access to unauthorized network resources through cached credentials,3,2
Outdated encryption algorithms vulnerable to brute force decryption attacks,4,2
Improper server decommissioning without sanitizing sensitive data,3,1
"Extended cloud service outage from regional failure, causing inability to access critical systems and data",5,2
"Cryptomining malware infection spreads quickly across endpoints, consuming excessive resources and impacting performance",4,4
"Targeted ransomware attack encrypts core database contents before backups occur, halting operations",5,3
"Improper firewall rules allow malicious traffic to internal systems, enabling potential data theft",4,3
Unpatched vulnerability in customer portal allows account takeover and financial fraud,5,4
"Denial of service attack floods network perimeter, blocking legitimate access to public-facing applications",3,4
"Stolen end user credentials used to access sensitive folders, exposing private company data",4,5
"Natural disaster destroys primary data center, causing full site failure with no failover",5,2
"Accidental deletion of virtual machine images disables critical systems, requiring full restoration",4,3
"Embedded malware in software update hijacks Active Directory controls, enabling broad access",5,2
"Insufficient logging and monitoring misses early signs of compromise, delaying response",3,4
"Weak VPN encryption cracked, exposing confidential communications and system credentials",4,3
"Outdated identity management system bypassed, allowing unauthorized access and privilege escalation",4,4
Vulnerable development libraries introduce remote code execution risks into internal applications,5,3
Improper decommissioning of drives leaves sensitive data intact for physical theft and recovery,4,2
Unrestricted outbound internet access enables command and control communications from infected hosts,3,5
Unmanaged BYOD devices introduce malware inside the trusted network perimeter,3,4
Insecure default configurations on new servers allow easy external exploitation,4,5
"Untested disaster recovery plans fail when activated, extending outage",4,3
Stolen mobile devices have access to unencrypted sensitive emails and files,3,4
Targeted supply chain attack embeds malicious code in critical software packages,5,1
Improper segmentation allows lateral movement between security zones,4,4
Weak mobile code signing enables malicious apps to access trusted internal resources,4,3
Expired certificates disrupt encrypted traffic to essential SaaS providers,3,2
Insufficient capacity planning leads to service degradation as demand increases,2,5
Legacy operating systems no longer receive critical security patches,4,5
Unauthorized changes to infrastructure through compromised privileged accounts,5,3
Failed security updates and unscheduled restarts cause unexpected system downtime,2,4
Inadequate monitoring of privileged user activities enables unauthorized actions,3,5
Undocumented network architecture hinders incident response when attackers pivot between systems,2,3
Improper hardening of cloud infrastructure leads to preventable misconfiguration exploits,3,4
"Uncontrolled personal devices connect over wireless to internal networks, bypassing network controls",2,4
"Spear phishing tricks users into divulging credentials, enabling broad system access",4,5
"Critical single points of failure lack redundancy, increasing outage severity",5,3
Outsourced development without security vetting introduces vulnerable code,3,4
Insufficient identity and access controls allow unauthorized data access,4,5
Inadequate employee security training results in accidental data exposure,3,4
Poor code quality leads to severe vulnerabilities in internally developed software,4,3
Overprivileged service accounts provide excessive unauthorized access when compromised,4,5
Improper encryption of backups enables access to confidential data,3,2
Lack of asset management overlooks unpatched and vulnerable systems,2,3
Compromised IoT devices serve as entry points into core networks,3,4
"Extended power outage at primary data center causes all systems and infrastructure to go offline, leading to prolonged downtime and inability to provide services",5,4
"Malware infection spreads quickly across network due to unpatched vulnerabilities, impacting system stability and availability",4,3
"Improper firewall rules inadvertently expose critical databases and applications to the public internet, allowing unauthorized access",5,2
"Accidental deletion of production database by admin during routine maintenance, requiring restoration from backups and potential data loss",4,1
"DDoS attack overwhelms network perimeter defenses, causing internet connectivity outages and inability to access applications",5,2
"Uncontrolled growth of log files fills up disk space on critical servers, leading to system crashes and service disruptions",3,4
"Failure of redundant power supplies in core network switches causes extended outage during switchover, interrupting network connectivity",4,2
"Improper access controls allow developer access to production servers, enabling potential data theft or manipulation",4,3
"Massive spike in traffic from viral social media post overwhelms web servers, causing slow load times and timeouts",3,2
"Accidental misconfiguration of storage backups causes incomplete or corrupted backup files, impacting restore reliability",5,1
Outdated and vulnerable operating systems and software in the environment increases susceptibility to cyber attacks,4,4
Lack of redundancy for internet connectivity leads to total loss of external access during ISP outage,3,3
Unrestricted USB media usage enables malware infection or data theft through removable drives,3,4
Improper hardening and security configurations on servers allows exploitation of known vulnerabilities,4,3
Failure to renew trusted SSL certificates causes errors accessing websites and applications using HTTPS,2,4
"Insufficient logging or monitoring of critical systems hampers threat detection, incident response, and forensic analysis",3,3
Improper change management process allows untested configuration changes to be pushed into production,4,4
Inability to scale compute resources leads to poor performance of applications during peak traffic,3,3
Lack of offsite backups makes recovery from a disaster at the primary data center unlikely,5,2
Expiration of software licensing leads to systems shutting down or refusal to start up after reboot,4,5
Improper capacity planning causes unexpected exhaustion of storage on critical file servers,4,2
Unrestricted physical access to data center or server room enables potential theft or tampering of equipment,4,2
"Failure to keep operating systems, software, and applications updated with latest security patches",3,5
Insider threat from disgruntled or compromised employee with excessive access credentials,4,2
Air conditioning failure in server room causes overheating and shutdown of critical systems,3,3
Configuration drift leads to inconsistent security controls and vulnerabilities across similar servers,3,4
Lack of asset inventory makes it difficult to identify all systems in need of critical security updates,2,3
Inability to detect encrypted cyber attacks and malware using network security controls,4,3
Improper separation of duties allows an employee to both develop and deploy code to production,3,3
Compromised vendor/third-party credentials used to pivot and gain access to internal network resources,4,2
Improper decommissioning of old hardware fails to fully erase sensitive data prior to disposal,4,1
Lack of physical access controls to secure laptops and mobile devices enables data theft,3,4
Failure to patch known vulnerabilities in web applications leads to exploits that steal customer data,5,3
"Insufficient identity, access, and authorization controls allows unauthorized access to sensitive systems",4,4
Lack of business continuity planning makes prolonged outages more likely during disasters,4,2
Unencrypted remote access channels into internal network allows interception of login credentials,4,2
"Improper segmentation of development, test, and production environments enables accidental data exposure",3,3
Failed backups due to insufficient testing and validation causes data loss when restoration is needed,5,1
Outdated business continuity plans fail to reflect critical systems and recovery time objectives accurately,3,3
Lack of automated failover capability leads to extended recovery time during primary system failures,4,2
Uncontrolled BYOD usage enables malware infections through unsecured personal mobile devices,2,4
